Time,X_dot,Y_dot,Z_dot,Roll_dot,Pitch_dot,Yaw_dot
0.0,0,0,0,0,0,0
0.147,-0.003545077190435514,0.0005905866905677962,0.0003202119891870142,7.576681768553939e-07,-2.5015443541574108e-06,3.5800948450610106e-06
0.417,-0.025815788158768237,0.004048151308898027,0.0021985517859012273,5.018317327365399e-06,-1.7706429336489435e-05,1.8020128120174853e-05
0.672,-0.02000585575401691,0.002823297695914803,0.0015395056803568317,2.9337339873449293e-06,-1.2945910895119699e-05,-1.1618857681631532e-06
0.939,-0.01869485424003824,0.0024045090122104774,0.0013132300659492104,2.647279743409226e-06,-1.2117348971745067e-05,-2.232884128039454e-06
1.031,-0.016718471498936134,0.0019862875847338098,0.001086035203488904,2.355354715112726e-06,-1.0868528864869472e-05,-1.895008262517952e-06
1.286,-0.018165503627631235,0.0020233403773792587,0.0011073510792356173,2.5495695931126256e-06,-1.1836043233928329e-05,-1.9761927873549983e-06
1.371,-0.009121684355128603,0.000940326106344514,0.000515208239092672,1.2749625461892934e-06,-5.9588201756707786e-06,-9.46039785669406e-07
1.626,-0.021363015068502328,0.0020456057986934875,0.0011220573263628966,2.9754192763485714e-06,-1.3988669594001105e-05,-2.1203832314426606e-06
1.712,-0.00459762547044058,0.00040047551534793324,0.00021998487453072645,6.37738863264384e-07,-3.0191638089022415e-06,-4.322482635205366e-07
1.9769999999999999,-0.0192308745056972,0.0015531752020476355,0.0008542193918480779,2.6598163503333136e-06,-1.26557908736042e-05,-1.7345836605627055e-06
2.237,-0.019787440253993205,0.0013666797229030278,0.0007535840207677904,2.827561825258193e-06,-1.3605142334263753e-05,-2.0318787960953676e-06
2.51,-0.020331121584722507,0.0011593784735551102,0.0006414858018165057,2.966648035369759e-06,-1.4418389075838011e-05,-2.2191882615074934e-06
2.759,-0.020811839007278024,0.0009386289815737321,0.0005220143160546513,2.36762413903234e-06,-1.1513902577432994e-05,2.830084608857927e-07
3.019,-0.01848813620398541,0.0006313591221044648,0.0003537126539892149,1.372967426888976e-06,-6.655457685856217e-06,3.0093557337692365e-06
3.274,-0.020517547513957735,0.000477246704362847,0.00027079409322964035,1.2193758554248956e-06,-5.976149279075389e-06,4.539316748111472e-06
3.547,-0.020739456263370364,0.00023983917238215786,0.00014117847026149456,1.504890419494634e-06,-7.545507605997346e-06,3.68179290532119e-06
3.797,-0.019578035671735185,7.503877313274974e-06,1.3514764468567267e-05,1.4337449387011763e-06,-7.306983916755264e-06,3.5127985828994666e-06
4.059,-0.020318959378538483,-0.00020905127690150403,-0.0001047236667167823,9.669427244493495e-07,-5.079637694979671e-06,5.638440477942585e-06
4.316,-0.020721309097701084,-0.00044183564398265893,-0.00023227202292066125,4.1917687977581906e-07,-2.456200837636562e-06,7.912705859932312e-06
4.59,-0.02101706417640192,-0.0006880375951668317,-0.0003676554385954483,5.342331438684368e-07,-3.168390726510869e-06,7.710905373458834e-06
4.851,-0.020568408673801816,-0.0009070206219342766,-0.0004887435374512588,8.886674495256635e-07,-5.060601506857092e-06,6.295324103121448e-06
5.131,-0.020722965538998633,-0.0011383971462855488,-0.0006162919434146998,-5.244701028367886e-07,1.9012746810937645e-06,1.1616425246905482e-05
5.383,-0.021455499519660144,-0.0014098233857119836,-0.0007659087442809447,-2.4330452570045414e-06,1.130813677704741e-05,1.900873344900325e-05
5.639,-0.021272148841039593,-0.0016273833924784942,-0.0008870269942226836,-1.9458187889813652e-06,8.735019825145235e-06,1.722867477453762e-05
5.951,-0.020192476584354562,-0.00177796087247012,-0.0009718043812681,-2.430389315177393e-06,1.107477394934347e-05,1.8560973157062318e-05
6.218,-0.02211187583424449,-0.0022278946261725394,-0.0012208600746667398,-4.448364524210854e-06,2.0891650694998182e-05,2.692924677647141e-05
6.465,-0.022173674526975717,-0.0024801326148647263,-0.0013621941115067248,-3.4862248770862048e-06,1.5919348549922246e-05,2.3546108090653247e-05
6.736,-0.018704018114128203,-0.0022800237872355983,-0.001254057727280214,-8.198312467993908e-06,3.956919833644958e-05,3.903133927705079e-05
6.991,-0.02158462984719364,-0.002849935662195564,-0.0015703974758273442,-1.1490569554501239e-05,5.562126707397564e-05,5.246458557042668e-05
7.258,-0.020737998794757257,-0.002957496211005255,-0.0016330596535004832,-1.0851237956970909e-05,5.231441545121906e-05,4.976839123307e-05
7.51,-0.021737885508727347,-0.0033280274274711864,-0.0018412031050873267,-1.1370982280572151e-05,5.465302693126933e-05,5.2170486316764606e-05
7.776,7.652779054482975e-09,-5.423806281570447e-09,-2.017586764832083e-08,-5.063610279487347e-09,3.720253113618831e-08,-1.1902314050567598e-08
8.028,0,0,0,0,0,0
