This file saves data from the most recent trajectory.
x_nom_vel,y_nom_vel,z_nom_vel,roll_nom_vel,pitch_nom_vel,yaw_nom_vel,x_compl_vel,y_compl_vel,z_compl_vel,roll_compl_vel,pitch_compl_vel,yaw_compl_vel,Fx,Fy,Fz,Tx,Ty,Tz
-0.004757,-0.000729,0.000977,0.004187,0.007073,-0.000575,-0.004757,-0.000729,0.000977,0.004187,0.007073,-0.000575,4.093488,-21.898146,-5.445602,-0.262149,1.590121,-3.108565,
-0.004772,-0.000734,0.000993,0.004206,0.007126,-0.000544,-0.004772,-0.000734,0.000993,0.004206,0.007126,-0.000544,4.093488,-21.898146,-5.445602,-0.262149,1.590121,-3.108565,
-0.004788,-0.000739,0.001009,0.004224,0.007178,-0.000512,-0.004788,-0.000739,0.001009,0.004224,0.007178,-0.000512,5.002632,-21.080489,-5.551067,-0.273423,1.599499,-3.305349,
-0.004803,-0.000745,0.001025,0.004242,0.007231,-0.000480,-0.004803,-0.000745,0.001025,0.004242,0.007231,-0.000480,6.014123,-20.283308,-5.329256,-0.283391,1.855309,-3.493477,
-0.004818,-0.000750,0.001041,0.004260,0.007283,-0.000449,-0.004818,-0.000750,0.001041,0.004260,0.007283,-0.000449,6.452049,-19.833812,-5.631898,-0.264886,1.717757,-3.607594,
-0.004833,-0.000755,0.001057,0.004278,0.007335,-0.000417,-0.004833,-0.000755,0.001057,0.004278,0.007335,-0.000417,7.724319,-18.952259,-5.399704,-0.302550,1.976471,-3.745689,
-0.004848,-0.000760,0.001073,0.004296,0.007388,-0.000386,-0.004848,-0.000760,0.001073,0.004296,0.007388,-0.000386,8.310800,-18.397833,-5.573009,-0.322658,1.918898,-3.880396,
-0.004864,-0.000766,0.001089,0.004314,0.007440,-0.000355,-0.004864,-0.000766,0.001089,0.004314,0.007440,-0.000355,8.457262,-18.327896,-5.604829,-0.338144,1.902928,-3.859024,
-0.004879,-0.000771,0.001105,0.004332,0.007492,-0.000323,-0.004879,-0.000771,0.001105,0.004332,0.007492,-0.000323,9.209023,-17.655996,-5.390383,-0.363401,2.077814,-4.006941,
-0.004894,-0.000776,0.001121,0.004349,0.007544,-0.000292,-0.004894,-0.000776,0.001121,0.004349,0.007544,-0.000292,9.693221,-17.192908,-5.579173,-0.395834,1.945836,-4.082037,
-0.004909,-0.000781,0.001137,0.004367,0.007596,-0.000261,-0.004909,-0.000781,0.001137,0.004367,0.007596,-0.000261,10.296458,-16.707997,-5.215350,-0.442319,2.193991,-4.165293,
-0.004924,-0.000786,0.001153,0.004384,0.007648,-0.000230,-0.004924,-0.000786,0.001153,0.004384,0.007648,-0.000230,11.339055,-15.880226,-5.514752,-0.512388,2.083422,-4.330810,
-0.004940,-0.000791,0.001169,0.004401,0.007700,-0.000199,-0.004940,-0.000791,0.001169,0.004401,0.007700,-0.000199,11.645384,-15.505911,-5.273856,-0.573072,2.196414,-4.392631,
-0.004955,-0.000796,0.001185,0.004419,0.007752,-0.000168,-0.004944,-0.000796,0.001185,0.004419,0.007752,-0.000168,12.071087,-15.077751,-5.185344,-0.624936,2.236822,-4.460269,
-0.004970,-0.000802,0.001201,0.004436,0.007804,-0.000137,-0.004928,-0.000802,0.001201,0.004436,0.007804,-0.000137,11.367682,-15.474700,-5.235852,-0.661152,2.063751,-4.365762,
-0.004985,-0.000807,0.001217,0.004453,0.007856,-0.000106,-0.004898,-0.000807,0.001217,0.004453,0.007856,-0.000106,13.260087,-13.911037,-4.942714,-0.709762,2.394107,-4.677536,
-0.005000,-0.000812,0.001233,0.004470,0.007908,-0.000076,-0.004844,-0.000801,0.001233,0.004470,0.007908,-0.000076,13.829469,-13.416029,-5.277864,-0.809911,2.183905,-4.783389,
