Time,deltaX [m],deltaY [m],deltaZ [m],deltaRoll [rad],deltaPitch [rad],deltaYaw [rad]
0.010187864,0,0,0,0,0,0
0.020415068,0,0,0,0,0,0
0.031341076,0,0,0,0,0,0
0.041591883,0,0,0,0,0,0
0.051863909,0,0,0,0,0,0
0.074405908,0.005364016877090695,0.05071288524001944,-0.027312163279640377,-0.41888217563986035,0.002912954546241964,-0.019165342887324247
0.256541967,0.014643485239243565,0.053815844671849834,-0.020814402316934547,-0.4118417291122382,0.01002998027032244,-0.04854978339752079
0.45647192,0.018224866046756934,0.04203034879048356,-0.004712559143371905,-0.25405018299289805,0.017267121388947895,-0.05590134482882315
0.656375885,0.09118406715639087,0.003937209562961927,-0.01047631742806381,-0.2101932217394622,0.09314555169758425,-0.2602752387272995
0.857532024,0.09936170246030208,-0.015935153693609278,-0.02284864218424491,-0.2556930558205172,0.11032471416287415,-0.2705930929360095
1.056396961,0.07276839866998117,0.012413734462972578,0.015435076399720615,-0.01987041552582076,0.08982081066016412,-0.19039088642360158
1.256353855,0.04578546861900389,0.03695372986175779,0.01366588950138681,-0.013744577689981684,0.055046547695030264,-0.11639336431880504
1.456465006,0.0031196691512552525,0.07023565244320255,-0.03861970247887464,-0.04850724759859004,0.003157428993347479,-0.007320858953682883
1.6567590239999999,0.0009774892717372336,0.08243876681868453,-0.0708829754159445,-0.002022353669549906,0.0005888551970498177,-0.0012092190892648309
1.85708189,0.0037389788400238734,0.07921717613429066,-0.07677717410502968,0.07153602957275973,0.0036325912116957596,-0.0069176724379261655
2.056664944,0.030923970678142693,0.046556382642732055,-0.11220647793513498,-0.12361369839063169,0.03291645212884913,-0.06985817713692927
2.257081985,0.11646754285533877,-0.003254837318398184,-0.0972512017566431,-0.1087258472262344,0.1308367984568948,-0.26110768119945477
2.457202911,0.16629243823249554,-0.055587941403255334,-0.11496220156929063,-0.29640730405958443,0.1932237738708936,-0.36722817560936266
2.656271934,0.15349050017404245,-0.06076359441888285,-0.0720869270657934,-0.24686627976504552,0.2025769505571763,-0.332962695760691
2.856047869,0.14047666862384883,-0.054388854757157885,-0.043112465414830665,-0.06842260162447886,0.2027919754136805,-0.2978144050633688
3.056242943,0.15262726146576247,-0.05884870526053872,-0.0436379822475815,-0.032482665344160194,0.22443627341436365,-0.32110861550825326
3.256918907,0.15673209681411093,-0.06093345584020544,-0.04518566723124541,-0.01743746651179497,0.23294300040817945,-0.3288664540555636
3.456308842,0.1263203199607748,-0.048705597617365266,-0.0341200540497742,1.7684856807457386e-07,0.1891268145785947,-0.2642773214062129
3.656107902,0.07492797107033679,-0.02963846830289128,-0.020625666966728785,0.0013964478943941398,0.11297674676870804,-0.15750060884859582
3.856737852,0.013495955723398397,-0.005521384156877211,-0.003718724266185038,0.0006122577818146938,0.020373952403538335,-0.02852932722568794
4.094330072,0,0,0,0,0,0
4.104579925,0,0,0,0,0,0
4.114804029,0,0,0,0,0,0
4.125045061,0,0,0,0,0,0
4.135274887,0,0,0,0,0,0
